Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,57.720001,58.110001,56.509998,56.689999,55.038258,41689600
2022-01-19,57.110001,57.680000,55.470001,55.570000,53.950893,34970200
2022-01-20,55.720001,56.380001,54.910000,55.000000,53.397507,26972800
2022-01-21,54.500000,55.000000,53.130001,53.669998,52.106251,38357600
2022-01-24,52.730000,53.490002,51.180000,53.320000,51.766453,48451400
2022-01-25,52.669998,53.730000,51.549999,53.590000,52.028591,40858700
2022-01-26,53.910000,54.919998,53.430000,54.139999,52.562561,39687100
2022-01-27,54.599998,55.509998,53.230000,53.759998,52.193634,34209200
2022-01-28,53.610001,54.220001,52.770000,54.189999,52.611103,35519700
2022-01-31,53.820000,54.049999,53.029999,53.799999,52.232468,34657500
2022-02-01,54.720001,55.810001,53.990002,55.599998,53.980026,35870200
2022-02-02,55.270000,56.049999,54.959999,55.930000,54.300407,29037100
2022-02-03,55.840000,56.290001,54.730000,55.169998,53.803043,25227400
2022-02-04,56.040001,57.040001,55.470001,56.330002,54.934303,33622100
2022-02-07,56.410000,57.889999,55.910000,57.330002,55.909527,37480100
2022-02-08,58.000000,58.980000,57.799999,58.750000,57.294342,39099600
2022-02-09,58.700001,59.380001,58.340000,59.060001,57.596661,25883100
2022-02-10,59.549999,60.299999,58.799999,59.049999,57.586906,36092000
2022-02-11,58.520000,60.240002,57.910000,58.310001,56.865246,38650500
2022-02-14,58.509998,58.650002,57.180000,57.849998,56.416637,32680500
2022-02-15,59.119999,59.320000,58.090000,58.380001,56.933514,18224600
2022-02-16,57.910000,58.880001,57.549999,58.139999,56.699455,22057200
2022-02-17,57.150002,57.529999,55.759998,56.150002,54.758766,24946500
2022-02-18,56.150002,56.720001,55.369999,55.630001,54.251648,22137900
2022-02-22,55.570000,56.119999,54.700001,55.279999,53.910320,26887800
2022-02-23,55.849998,56.020000,53.759998,53.950001,52.613270,21860700
2022-02-24,51.759998,52.830002,50.680000,52.709999,51.403999,40917600
2022-02-25,53.169998,54.439999,53.090000,54.110001,52.769310,27493500
2022-02-28,52.630001,53.400002,52.209999,53.369999,52.047646,31094800
2022-03-01,52.439999,52.720001,50.009998,50.290001,49.043961,54135500
2022-03-02,51.320000,52.820000,51.000000,52.220001,50.926136,34894300
2022-03-03,52.349998,52.560001,50.939999,51.240002,49.970421,24159700
2022-03-04,50.040001,50.060001,48.180000,48.790001,47.581123,35871600
2022-03-07,48.580002,48.580002,45.770000,45.810001,44.674957,56332500
2022-03-08,46.680000,48.200001,46.349998,46.459999,45.308853,60018100
2022-03-09,48.790001,49.750000,48.349998,49.160000,47.941956,34560200
2022-03-10,48.259998,49.570000,47.849998,49.009998,47.795670,26178800
2022-03-11,49.669998,50.000000,48.430000,48.470001,47.269051,23707100
2022-03-14,49.660000,50.380001,49.299999,49.860001,48.624611,28166600
